English,German,Frequency
laying,Verlegung,7769
coffin,Sarg,7767
paula,Paula,7766
cocaine,Kokain,7765
puppy,Welpe,7764
louder,lauter,7761
handled,abgewickelt,7759
announcement,Bekanntmachung,7759
oath,Eid,7758
mob,Mob,7753
cotton,Baumwolle,7748
deposit,Kaution,7747
taxes,Steuern,7741
injuries,Verletzungen,7735
jen,Jen,7731
autopsy,Autopsie,7728
advise,beraten,7727
gig,Soloauftritt,7723
lecture,Vorlesung,7721
posted,Gesendet,7719
skinny,schlank,7719
lo,LO,7717
include,enthalten,7716
revealed,enthüllt,7713
infected,infiziert,7711
relieved,erleichtert,7707
assistance,Hilfe,7707
solo,Solo,7703
determine,bestimmen,7695
terrorists,Terroristen,7694
elsewhere,anderswo,7693
lamp,Lampe,7692
practical,praktisch,7685
marked,markiert,7684
adorable,liebenswert,7682
rubber,Gummi,7682
purple,lila,7681
operating,Betriebs,7681
suite,Suite,7680
apologies,Entschuldigung,7679
personnel,Personal,7676
beam,Strahl,7674
poet,Dichter,7674
samples,Proben,7673
arrow,Pfeil,7670
counselor,Berater,7670
carpet,Teppich,7667
allen,Allen,7667
audrey,Audrey,7665
spotted,entdeckt,7664
floating,schwebend,7661
corrected,korrigiert,7648
located,gelegen,7648
journalist,Journalist,7646
insisted,beharrte,7645
operator,Operator,7633
rely,vertrauen,7632
singh,Singh,7631
fooled,reingefallen,7627
arrives,kommt an,7625
i.d.,Ausweis.,7622
leon,Leon,7619
walt,Walt,7614
eastern,Ost,7614
ay,ay,7613
shave,rasieren,7607
remaining,verblieben,7606
toss,werfen,7606
anderson,Anderson,7602
lip,Lippe,7597
acid,Säure,7597
nora,Nora,7593
si,Si,7588
december,Dezember,7586
anonymous,anonym,7582
inn,Gasthaus,7578
planted,gepflanzt,7577
oldest,älteste,7576
breast,Brust,7568
sixth,sechste,7566
error,Fehler,7563
reporting,Berichterstattung,7562
egypt,Ägypten,7553
islands,Inseln,7553
brother-in-law,Schwager,7545
jules,Jules,7536
roommate,Mitbewohner,7535
sings,singt,7535
scum,Abschaum,7530
visitor,Besucher,7527
giggling,kichern,7525
described,beschrieben,7525
geez,Meine Güte,7525
inches,Zoll,7524
commitment,Engagement,7523
hercules,Herkules,7521
react,reagieren,7521
cows,Kühe,7517
protest,Protest,7517
misery,Elend,7513
theft,Diebstahl,7510
embrace,umarmen,7510
darn,verflixt,7507
harsh,harsch,7507
andrea,Andrea,7506
communicate,kommunizieren,7505
fathers,Väter,7504
faithful,treu,7503
hector,tyrannisieren,7501
uh-uh,uh-uh,7501
flame,Flamme,7500
medal,Medaille,7498
silk,Seide,7495
photographer,Fotograf,7495
trevor,Trevor,7493
cemetery,Friedhof,7493
rear,Rückseite,7491
freddy,Freddy,7491
banana,Banane,7491
allison,Allison,7485
emotion,Emotion,7482
chap,Kerl,7480
dated,datiert,7478
excuses,Ausreden,7477
shitty,beschissen,7475
bin,Behälter,7468
jew,Jude,7465
gum,Gummi,7462
crushed,zerquetscht,7462
efforts,Bemühungen,7459
content,Inhalt,7459
corporal,Korporal,7450
realised,erkannte,7449
del,del,7447
rap,Rap,7446
hopeless,hoffnungslos,7445
debate,Debatte,7444
era,Epoche,7442
luckily,Glücklicherweise,7442
ton,Tonne,7438
liquid,flüssig,7435
swell,anschwellen,7434
peggy,Peggy,7431
feast,Fest,7431
murphy,Murphy,7430
attracted,angezogen,7428
application,Anwendung,7420
profession,Beruf,7420
bench,Bank,7419
vanessa,Vanessa,7418
ahem,Hm,7416
symptoms,Symptome,7415
scout,erkunden,7409
crashed,abgestürzt,7406
keen,erpicht,7404
aircraft,Flugzeug,7395
formed,gebildet,7394
hon,Hon,7387
aggressive,aggressiv,7383
pale,blass,7382
significant,bedeutsam,7382
duncan,Duncan,7380
clubs,Clubs,7379
visual,visuell,7379
embassy,Botschaft,7375
defence,Verteidigung,7374
cabinet,Kabinett,7374
display,Anzeige,7373
fame,Ruhm,7372
gibbs,Gibbs,7369
drowned,ertrank,7366
wolves,Wölfe,7364
filming,Dreharbeiten,7364
dunno,Keine Ahnung,7363
cursed,verflucht,7360
twin,Zwilling,7358
sorrow,Kummer,7354
vault,Gewölbe,7351
defeated,besiegt,7350
watson,Watson,7349
quote,zitieren,7348
penalty,Strafe,7347
bargain,Schnäppchen,7347
pepper,Pfeffer,7346
speaker,Lautsprecher,7343
compare,vergleichen,7342
satan,Satan,7341
helmet,Helm,7341
scar,Narbe,7339
copies,Kopien,7335
fuss,Aufregung,7333
envelope,Umschlag,7330
perry,Perry,7325
stinks,stinkt,7323
african,afrikanisch,7322
arrangements,Arrangements,7321
wished,gewünscht,7318
honored,geehrt,7316
believing,glauben,7311
discussed,besprochen,7309
assigned,zugewiesen,7308
rosa,Rosa,7305
oven,Ofen,7301
jenna,Jenna,7299
attacking,angreifen,7299
tin,Zinn,7297
sonic,Schall-,7293
collar,Kragen,7290
mere,bloß,7287
romeo,Romeo,7286
belief,Glauben,7284
storage,Lagerung,7281
rusty,rostig,7276
psycho,Psycho,7269
climbing,Klettern,7269
melissa,Melissa,7267
fears,Ängste,7266
sum,Summe,7265
dedicated,gewidmet,7262
ladder,Leiter,7260
alternative,Alternative,7253
raid,überfallen,7253
dining,Essen,7250
ms,MS,7250
corporate,Unternehmen,7248
folk,Volk,7245
jon,Jon,7243
replaced,ersetzt,7242
bailey,Bailey,7241
un,un,7239
heels,Fersen,7238
duties,Aufgaben,7236
smarter,schlauer,7236
existed,existiert,7236
surprising,überraschend,7235
chess,Schach,7234
requested,angefordert,7233
cruise,Kreuzfahrt,7226
primary,primär,7225
rhythm,Rhythmus,7224
drum,Trommel,7222
models,Modelle,7221
motorcycle,Motorrad,7221
adopted,angenommen,7218
barrel,Fass,7217
cargo,Ladung,7217
planets,Planeten,7215
shove,schieben,7215
wha,Was,7214
surprises,Überraschungen,7208
rosie,Rosie,7206
dings,Dings,7204
trailer,Anhänger,7200
cannon,Kanone,7198
tables,Tische,7196
arse,Arsch,7196
ally,Verbündete,7195
lawrence,Lawrence,7193
wee,klein,7190
tapes,Bänder,7186
dull,langweilig,7185
sandra,Sandra,7185
teenage,Teenager,7184
kent,Kent,7183
cooperate,kooperieren,7180
risks,Risiken,7178
dug,gegraben,7177
worthless,wertlos,7177
arriving,ankommen,7175
kindness,Freundlichkeit,7173
ties,Krawatten,7172
items,Artikel,7171
and-,Und-,7169
grip,Griff,7167
relations,Beziehungen,7164
rumor,Gerücht,7163
skirt,Rock,7161
frog,Frosch,7160
paige,Paige,7153
lloyd,Lloyd,7151
claimed,behauptet,7146
perfume,Parfüm,7146
instrumental,instrumental,7146
flames,Flammen,7145
association,Verband,7145
loses,verliert,7142
january,Januar,7140
spike,Spitze,7140
israel,Israel,7137
eleven,elf,7136
gallery,Galerie,7134
ginger,Ingwer,7134
activities,Aktivitäten,7131
iraq,Irak,7131
boarding,Boarding,7121
fist,Faust,7118
stuffed,ausgestopft,7114
improve,verbessern,7114
creation,Schaffung,7113
connie,Connie,7111
infection,Infektion,7108
strikes,Streiks,7107
wiped,abgewischt,7107
tension,Spannung,7107
whistles,Pfeifen,7105
kindly,freundlich,7104
certificate,Zertifikat,7103
curtis,Curtis,7102
bold,deutlich,7100
threats,Bedrohungen,7099
claudia,Claudia,7099
sid,Sid,7095
twisted,verdrehte,7092
suspended,ausgesetzt,7092
affected,betroffen,7090
envy,Neid,7089
whale,Wal,7087
dial,wählen,7086
cameron,Cameron,7085
martial,Kriegszeit,7085
controlled,kontrolliert,7084
lung,Lunge,7084
nigga,Nigga,7077
coal,Kohle,7074
upside,Auf den Kopf,7074
imperial,Kaiserliche,7073
pam,Pam,7072
paranoid,paranoid,7063
signing,Unterzeichnung,7061
congress,Kongress,7060
villa,Villa,7056
candles,Kerzen,7055
filling,Füllung,7055
becky,Becky,7053
comic,Comic,7053
faint,ohnmächtig werden,7053
recovery,Erholung,7052
volunteer,Freiwilliger,7052
tech,Technik,7051
bleed,bluten,7050
positions,Positionen,7050
cindy,Cindy,7047
narrow,eng,7036
forbid,verbieten,7033
stuart,Stuart,7032
perspective,Perspektive,7030
faced,konfrontiert,7028
neat,sauber,7027
pierce,Pierce,7027
observe,beobachten,7024
cycle,Zyklus,7022
psychic,psychisch,7022
handling,Handhabung,7022
goose,Gans,7019
accidentally,versehentlich,7018
conclusion,Abschluss,7018
designer,Designer,7017
sits,sitzt,7016
importance,Bedeutung,7014
spots,Flecken,7006
francs,Franken,7004
sweep,fegen,7003
destroying,zerstören,7000
communist,Kommunist,6994
blackmail,Bestechung,6988
pacific,Pazifik,6984
risky,riskant,6984
glorious,herrlich,6982
filed,abgelegt,6981
hatred,Hass,6973
cam,Nocken,6972
deals,Angebote,6971
pos,pos,6970
fooling,täuschen,6967
persons,Personen,6965
scotch,Scotch,6965
executed,hingerichtet,6959
brakes,Bremsen,6958
blank,leer,6956
tender,zart,6954
kurt,Kurt,6953
turner,Turner,6951
tub,Wanne,6944
sucker,Saugnapf,6939
slight,leicht,6937
addition,Zusatz,6933
campus,Campus,6931
,,6931
,,6930
,,6929
,,6927
,,6926
,,6926
,,6923
,,6921
,,6918
,,6915
,,6915
,,6914
,,6909
,,6904
,,6901
,,6899
,,6898
,,6895
,,6895
,,6891
,,6886
,,6885
,,6882
,,6880
,,6875
,,6875
,,6872
,,6872
,,6870
,,6868
,,6868
,,6867
,,6866
,,6863
,,6859
,,6858
,,6855
,,6848
,,6844
,,6843
,,6843
,,6843
,,6841
,,6836
,,6833
,,6828
,,6824
,,6823
,,6822
,,6821
,,6815
,,6813
,,6813
,,6811
,,6808
,,6803
,,6803
,,6802
,,6802
,,6801
,,6800
,,6797
,,6797
,,6789
,,6787
,,6786
,,6786
,,6778
,,6778
,,6777
,,6777
,,6777
,,6775
,,6771
,,6771
,,6768
,,6767
,,6765
,,6760
,,6760
,,6760
,,6759
,,6757
,,6755
,,6751
,,6750
,,6749
,,6747
,,6747
,,6746
,,6745
,,6743
,,6738
,,6738
,,6737
,,6737
,,6737
,,6735
,,6731
,,6728
,,6721
,,6720
,,6717
,,6717
,,6715
,,6715
,,6714
,,6714
,,6713
,,6711
,,6711
,,6706
,,6701
,,6700
,,6694
,,6694
,,6692
,,6692
,,6689
,,6688
,,6685
,,6681
,,6680
,,6680
,,6678
,,6677
,,6677
,,6677
,,6677
,,6673
,,6669
,,6669
,,6666
,,6662
,,6661
,,6661
,,6660
,,6660
,,6655
,,6654
,,6653
,,6649
,,6645
,,6642
,,6639
,,6639
,,6639
,,6637
,,6636
,,6634
,,6631
,,6626
,,6625
,,6625
,,6624
,,6620
,,6620
,,6617
,,6610
,,6610
,,6608
,,6606
,,6605
,,6604
,,6603
,,6601
,,6597
,,6596
,,6596
,,6595
,,6595
,,6594
,,6590
,,6584
,,6583
,,6583
,,6579
,,6576
,,6573
,,6569
,,6562
,,6555
,,6554
,,6553
,,6553
,,6553
,,6549
,,6544
,,6544
,,6543
,,6543
,,6542
,,6541
,,6538
,,6537
,,6536
,,6535
,,6533
,,6531
,,6529
,,6529
,,6527
,,6526
,,6526
,,6523
,,6523
,,6522
,,6521
,,6520
,,6520
,,6519
,,6519
,,6516
,,6515
,,6513
,,6510
,,6505
,,6496
,,6496
,,6494
,,6493
,,6492
,,6491
,,6491
,,6488
,,6485
,,6482
,,6480
,,6480
,,6478
,,6477
,,6470
,,6470
,,6470
,,6469
,,6463
,,6463
,,6462
,,6462
,,6461
,,6459
,,6459
,,6453
,,6452
,,6452
,,6452
,,6450
,,6450
,,6447
,,6447
,,6446
,,6445
,,6444
,,6440
,,6438
,,6436
,,6435
,,6435
,,6435
,,6434
,,6431
,,6429
,,6428
,,6425
,,6424
,,6423
,,6422
,,6420
,,6419
,,6418
,,6418
,,6412
,,6412
,,6410
,,6408
,,6408
,,6408
,,6405
,,6401
,,6398
,,6398
,,6397
,,6395
,,6395
,,6394
,,6391
,,6390
,,6389
,,6388
,,6388
,,6386
,,6386
,,6381
,,6374
,,6370
,,6367
,,6367
,,6367
,,6366
,,6362
,,6359
,,6358
,,6357
,,6355
,,6354
,,6352
,,6352
,,6351
,,6350
,,6347
,,6345
,,6339
,,6336
,,6336
,,6334
,,6333
,,6331
,,6320
,,6319
,,6318
,,6318
,,6317
,,6315
,,6312
,,6312
,,6309
,,6308
,,6307
,,6304
,,6300
,,6299
,,6299
,,6298
,,6298
,,6292
,,6290
,,6290
,,6289
,,6287
,,6287
,,6284
,,6283
,,6282
,,6278
,,6277
,,6276
,,6276
,,6275
,,6274
,,6274
,,6274
,,6273
,,6273
,,6270
,,6269
,,6268
,,6266
,,6266
,,6263
,,6263
,,6262
,,6259
,,6257
,,6257
,,6256
,,6255
,,6252
,,6250
,,6247
,,6245
,,6240
,,6238
,,6236
,,6229
,,6229
,,6229
,,6226
,,6224
,,6224
,,6222
,,6222
,,6218
,,6217
,,6216
,,6216
,,6215
,,6215
,,6215
,,6214
,,6211
,,6209
,,6209
,,6208
,,6207
,,6204
,,6202
,,6201
,,6201
,,6201
,,6196
,,6193
,,6192
,,6192
,,6191
,,6190
,,6189
,,6189
,,6186
,,6186
,,6186
,,6185
,,6184
,,6184
,,6182
,,6180
,,6179
,,6179
,,6176
,,6175
,,6174
,,6172
,,6170
,,6169
,,6169
,,6167
,,6167
,,6167
,,6166
,,6165
,,6164
,,6163
,,6163
,,6158
,,6157
,,6156
,,6153
,,6153
,,6152
,,6152
,,6152
,,6150
,,6149
,,6145
,,6143
,,6143
,,6141
,,6138
,,6138
,,6138
,,6136
,,6134
,,6133
,,6133
,,6131
,,6131
,,6131
,,6130
,,6130
,,6129
,,6127
,,6127
,,6125
,,6125
,,6124
,,6124
,,6118
,,6117
,,6116
,,6115
,,6106
,,6104
,,6102
,,6101
,,6100
,,6100
,,6097
,,6096
,,6095
,,6092
,,6092
,,6088
,,6086
,,6085
,,6081
,,6080
,,6075
,,6073
,,6072
,,6072
,,6071
,,6070
,,6069
,,6066
,,6063
,,6061
,,6060
,,6059
,,6059
,,6059
,,6056
,,6055
,,6054
,,6046
,,6042
,,6041
,,6041
,,6036
,,6034
,,6030
,,6028
,,6027
,,6024
,,6023
,,6022
,,6022
,,6019
,,6019
,,6017
,,6016
,,6015
,,6010
,,6008
,,6008
,,6007
,,6006
,,6006
,,6002
,,6001
,,5998
,,5994
,,5990
,,5989
,,5988
,,5987
,,5987
,,5985
,,5983
,,5982
,,5981
,,5980
,,5980
,,5979
,,5978
,,5978
,,5977
,,5976
,,5976
,,5975
,,5975
,,5973
,,5972
,,5971
,,5970
,,5968
,,5967
,,5967
,,5966
,,5964
,,5963
,,5960
,,5960
,,5959
,,5958
,,5958
,,5957
,,5957
,,5956
,,5956
,,5955
,,5953
,,5952
,,5951
,,5951
,,5950
,,5950
,,5948
,,5946
,,5946
,,5946
,,5944
,,5944
,,5944
,,5943
,,5942
,,5941
,,5939
,,5939
,,5938
,,5938
,,5937
,,5936
,,5936
,,5935
,,5935
,,5935
,,5935
,,5934
,,5932
,,5932
,,5929
,,5929
,,5928
,,5926
,,5925
,,5922
,,5920
,,5918
,,5917
,,5917
,,5916
,,5914
,,5914
,,5914
,,5913
,,5911
,,5910
,,5908
,,5907
,,5906
,,5906
,,5904
,,5903
,,5900
,,5895
,,5893
,,5892
,,5890
,,5890
,,5883
,,5881
,,5881
,,5880
,,5880
,,5871
,,5870
,,5868
,,5867
,,5866
,,5865
,,5864
,,5862
,,5860
,,5855
,,5854
,,5853
,,5852
,,5850
,,5848
,,5846
,,5846
,,5846
,,5845
,,5843
,,5842
,,5841
,,5839
,,5839
,,5835
,,5834
,,5834
,,5833
,,5832
,,5832
,,5831
,,5828
,,5824
,,5822
,,5821
,,5817
,,5817
,,5814
,,5813
,,5809
,,5808
,,5807
,,5803
,,5803
,,5802
,,5801
,,5801
,,5799
,,5798
,,5797
,,5796
,,5794
,,5792
,,5792
,,5789
,,5789
,,5787
,,5786
,,5786
,,5785
,,5784
,,5781
,,5777
,,5776
,,5776
,,5776
,,5775
,,5774
,,5774
,,5770
,,5768
,,5768
,,5765
,,5762
,,5757
,,5757
,,5756
,,5755
,,5755
,,5753
,,5753
,,5752
,,5748
,,5745
,,5744
,,5743
,,5741
,,5741
,,5740
,,5736
,,5734
,,5733
,,5733
,,5731
,,5727
,,5724
,,5721
,,5720
,,5719
,,5719
,,5718
,,5718
,,5717
,,5713
,,5712
,,5711
,,5708
,,5708
,,5707
,,5707
,,5703
,,5702
,,5701
,,5701
,,5700
,,5698
,,5698
,,5697
,,5695
,,5695
,,5694
,,5694
,,5693
,,5693
,,5691
,,5690
,,5690
,,5684
,,5683
,,5682
,,5681
,,5680
,,5678
,,5676
,,5673
,,5670
,,5668
,,5668
,,5668
,,5667
,,5667
,,5666
,,5665
,,5664
,,5662
,,5661
,,5660
,,5660
,,5656
,,5655
,,5654
,,5652
,,5652
,,5651
,,5650
,,5648
,,5648
,,5648
,,5647
,,5644
,,5640
,,5633
,,5632
,,5627
,,5627
,,5627
,,5624
,,5623
,,5622
,,5618
,,5618
,,5615
,,5615
,,5614
,,5613
,,5613
,,5613
,,5610
,,5608
,,5601
,,5597
,,5597
,,5595
,,5589
,,5589
,,5588
,,5587
,,5582
,,5582
,,5580
,,5579
,,5577
,,5574
,,5570
,,5568
,,5568
,,5566
,,5565
,,5565
,,5565
,,5563
,,5562
,,5562
,,5562
,,5562
,,5562
,,5562
,,5560
,,5559
,,5555
,,5554
,,5554
,,5553
,,5552
,,5552
,,5552
,,5551
,,5548
,,5548
,,5548
,,5546
,,5544
,,5544
,,5544
,,5540
,,5539
,,5535
,,5535
,,5534
,,5533
,,5532
,,5524
,,5523
,,5523
,,5522
,,5520
,,5518
,,5517
,,5517
,,5516
,,5515
,,5512
,,5512
,,5508
,,5508
,,5508
,,5507
,,5507
,,5506
,,5504
,,5502
,,5502
,,5500
,,5498
,,5497
,,5497
,,5496
,,5495
,,5495
,,5492
,,5492
,,5491
,,5491
,,5488
,,5488
,,5480
,,5480
,,5478
,,5478
,,5475
,,5475
,,5474
,,5474
,,5474
,,5473
,,5472
,,5471
,,5469
,,5466
,,5464
,,5462
,,5460
,,5459
,,5458
,,5457
,,5456
,,5455
,,5454
,,5454
,,5453
,,5453
,,5451
,,5450
,,5449
,,5448
,,5448
,,5447
,,5445
,,5444
,,5443
,,5443
,,5442
,,5441
,,5439
,,5439
,,5438
,,5438
,,5438
,,5438
,,5436
,,5436
,,5436
,,5435
,,5434
,,5432
,,5432
,,5430
,,5428
,,5426
,,5425
,,5425
,,5425
,,5424
,,5422
,,5422
,,5422
,,5419
,,5419
,,5418
,,5418
,,5417
,,5416
,,5415
,,5415
,,5415
,,5414
,,5413
,,5410
,,5410
,,5409
,,5408
,,5407
,,5406
,,5405
,,5405
,,5401
,,5399
,,5398
,,5398
,,5397
,,5393
,,5393
,,5392
,,5391
,,5389
,,5388
,,5387
,,5387
,,5385
,,5385
,,5385
,,5384
,,5384
,,5384
,,5383
,,5382
,,5381
,,5380
,,5380
,,5376
,,5375
,,5375
,,5371
,,5370
,,5369
,,5367
,,5366
,,5364
,,5363
,,5363
,,5363
,,5363
,,5359
,,5357
,,5357
,,5356
,,5355
,,5353
,,5349
,,5348
,,5348
,,5346
,,5346
,,5343
,,5343
,,5333
,,5331
,,5331
,,5330
,,5329
,,5326
,,5326
,,5325
,,5324
,,5323
,,5321
,,5321
,,5321
,,5316
,,5315
,,5315
,,5315
,,5314
,,5313
,,5312
,,5312
,,5309
,,5308
,,5307
,,5304
,,5303
,,5300
,,5299
,,5298
,,5298
,,5297
,,5295
,,5293
,,5293
,,5287
,,5286
,,5286
,,5285
,,5284
,,5284
,,5284
,,5282
,,5281
,,5280
,,5280
,,5277
,,5276
,,5276
,,5275
,,5275
,,5274
,,5273
,,5272
,,5272
,,5272
,,5269
,,5269
,,5269
,,5269
,,5267
,,5262
,,5260
,,5257
,,5256
,,5256
,,5253
,,5251
,,5250
,,5249
,,5247
,,5246
,,5246
,,5244
,,5241
,,5241
,,5239
,,5238
,,5238
,,5237
,,5237
,,5236
,,5236
,,5235
,,5234
,,5233
,,5233
,,5232
,,5231
,,5231
,,5230
,,5229
,,5227
,,5226
,,5226
,,5225
,,5224
,,5224
,,5221
,,5220
,,5219
,,5217
,,5217
,,5217
,,5212
,,5210
,,5209
,,5209
,,5207
,,5206
,,5205
,,5202
,,5202
,,5201
,,5200
,,5200
,,5199
,,5199
,,5199
,,5198
,,5197
,,5196
,,5196
,,5195
,,5194
,,5194
,,5193
,,5193
,,5188
,,5187
,,5185
,,5182
,,5182
,,5181
,,5179
,,5177
,,5175
,,5174
,,5174
,,5172
,,5172
,,5171
,,5171
,,5170
,,5170
,,5167
,,5166
,,5165
,,5165
,,5164
,,5158
,,5157
,,5156
,,5155
,,5154
,,5153
,,5153
,,5151
,,5149
,,5148
,,5148
,,5147
,,5146
,,5143
,,5141
,,5140
,,5140
,,5138
,,5135
,,5134
,,5134
,,5133
,,5132
,,5132
,,5132
,,5131
,,5129
,,5128
,,5128
,,5127
,,5127
,,5126
,,5126
,,5126
,,5122
,,5121
,,5120
,,5120
,,5120
,,5119
,,5119
,,5118
,,5116
,,5116
,,5116
,,5113
,,5112
,,5112
,,5109
,,5108
,,5107
,,5107
,,5105
,,5104
,,5102
,,5100
,,5100
,,5097
,,5096
,,5095
,,5095
,,5094
,,5093
,,5091
,,5091
,,5090
,,5089
,,5089
,,5088
,,5087
,,5087
,,5086
,,5086
,,5086
,,5085
,,5085
,,5083
,,5083
,,5083
,,5082
,,5082
,,5082
,,5082
,,5081
,,5080
,,5080
,,5080
,,5078
,,5077
,,5075
,,5075
,,5074
,,5074
,,5072
,,5068
,,5067
,,5067
,,5065
,,5064
,,5064
,,5064
,,5062
,,5062
,,5060
,,5058
,,5058
,,5057
,,5057
,,5054
,,5053
,,5053
,,5051
,,5051
,,5051
,,5050
,,5050
,,5050
,,5049
,,5049
,,5046
,,5042
,,5041
,,5040
,,5040
,,5040
,,5039
,,5039
,,5036
,,5035
,,5033
,,5032
,,5032
,,5032
,,5031
,,5030
,,5030
,,5029
,,5029
,,5028
,,5027
,,5027
,,5026
,,5024
,,5016
,,5016
,,5015
,,5015
,,5015
,,5014
,,5014
,,5012
,,5012
,,5011
,,5011
,,5008
,,5008
,,5007
,,5007
,,5006
,,5005
,,5002
,,5002
,,4998
,,4998
,,4998
,,4996
,,4996
,,4995
,,4995
,,4994
,,4994
,,4993
,,4993
,,4992
,,4992
,,4989
,,4988
,,4987
,,4987
,,4987
,,4986
,,4986
,,4986
,,4985
,,4985
,,4985
,,4984
,,4983
,,4980
,,4980
,,4978
,,4976
,,4974
,,4973
,,4973
,,4973
,,4973
,,4971
,,4969
,,4969
,,4969
,,4968
,,4966
,,4965
,,4963
,,4962
,,4961
,,4960
,,4959
,,4956
,,4953
,,4953
,,4952
,,4951
,,4950
,,4948
,,4946
,,4945
,,4943
,,4940
,,4939
,,4937
,,4936
,,4936
,,4936
,,4936
,,4935
,,4933
,,4933
,,4932
,,4932
,,4930
,,4930
,,4928
,,4927
,,4924
,,4923
,,4923
,,4923
,,4922
,,4922
,,4921
,,4921
,,4919
,,4918
,,4918
,,4918
,,4917
,,4915
,,4914
,,4913
,,4912
,,4912
,,4911
,,4911
,,4911
,,4910
,,4910
,,4907
,,4906
,,4906
,,4906
,,4905
,,4905
,,4904
,,4904
,,4902
,,4901
,,4900
,,4898
,,4898
,,4898
,,4897
,,4896
,,4896
,,4895
,,4895
,,4894
,,4893
,,4893
,,4893
,,4893
,,4892
,,4891
,,4891
,,4886
,,4885
,,4884
,,4884
,,4882
,,4882
,,4881
,,4881
,,4879
,,4878
,,4877
,,4876
,,4875
,,4874
,,4874
,,4874
,,4872
,,4869
,,4868
,,4867
,,4866
,,4864
,,4862
,,4861
,,4859
,,4859
,,4857
,,4856
,,4852
,,4851
,,4846
,,4845
,,4845
,,4843
,,4842
,,4840
,,4837
,,4837
,,4836
,,4833
,,4833
,,4828
,,4826
,,4825
,,4823
,,4820
,,4819
,,4819
,,4819
,,4818
,,4818
,,4818
,,4813
,,4812
,,4812
,,4811
,,4810
,,4809
,,4806
,,4806
,,4806
,,4806
,,4803
,,4803
,,4803
,,4801
,,4800
,,4800
,,4799
,,4799
,,4797
,,4796
,,4796
,,4795
,,4794
,,4793
,,4792
,,4791
,,4791
,,4789
,,4786
,,4786
,,4785
,,4783
,,4781
,,4780
,,4780
,,4779
,,4779
,,4777
,,4775
,,4774
,,4772
,,4771
,,4771
,,4769
,,4766
,,4765
,,4765
,,4764
,,4764
,,4764
,,4763
,,4763
,,4762
,,4762
,,4762
,,4761
,,4761
,,4761
,,4760
,,4760
,,4760
,,4760
,,4759
,,4759
,,4758
,,4757
,,4756
,,4753
,,4753
,,4752
,,4752
,,4752
,,4751
,,4751
,,4750
,,4749
,,4748
,,4748
,,4747
,,4747
,,4747
,,4746
,,4744
,,4743
,,4742
,,4741
,,4739
,,4738
,,4737
,,4737
,,4736
,,4736
,,4732
,,4731
,,4730
,,4726
,,4724
,,4724
,,4723
,,4723
,,4722
,,4722
,,4721
,,4720
,,4720
,,4719
,,4718
,,4716
,,4714
,,4711
,,4711
,,4707
,,4707
,,4707
,,4707
,,4707
,,4706
,,4705
,,4704
,,4702
,,4702
,,4700
,,4700
,,4700
,,4698
,,4698
,,4696
,,4695
,,4693
,,4693
,,4693
,,4690
,,4688
,,4686
,,4683
,,4682
,,4682
,,4682
,,4682
,,4681
,,4681
,,4679
,,4678
,,4677
,,4677
,,4674
,,4674
,,4673
,,4672
,,4671
,,4671
,,4670
,,4670
,,4670
,,4669
,,4668
,,4667
,,4664
,,4664
,,4663
,,4662
,,4660
,,4659
,,4656
,,4655
,,4655
,,4654
,,4652
,,4652
,,4649
,,4647
,,4647
,,4645
,,4642
,,4642
,,4642
,,4638
,,4634
,,4634
,,4633
,,4633
,,4633
,,4630
,,4628
,,4626
,,4624
,,4622
,,4620
,,4618
,,4618
,,4615
,,4612
,,4612
,,4611
,,4610
,,4610
,,4609
,,4608
,,4608
,,4606
,,4605
,,4605
,,4605
,,4604
,,4603
,,4602
,,4601
,,4601
,,4600
,,4600
,,4600
,,4599
,,4599
,,4597
,,4597
,,4597
,,4596
,,4596
,,4595
,,4595
,,4594
,,4594
,,4593
,,4593
,,4593
,,4592
,,4591
,,4590
,,4589
,,4589
,,4589
,,4587
,,4586
,,4586
,,4586
,,4585
,,4584
,,4584
,,4584
,,4582
,,4581
,,4580
,,4577
,,4577
,,4577
,,4576
,,4575
,,4574
,,4574
,,4569
,,4566
,,4562
,,4561
,,4560
,,4559
,,4558
,,4557
,,4557
,,4555
,,4553
,,4552
,,4550
,,4549
,,4548
,,4547
,,4545
,,4542
,,4542
,,4541
,,4541
,,4540
,,4539
,,4539
,,4533
,,4531
,,4528
,,4526
,,4524
,,4523
,,4521
,,4520
,,4519
,,4518
,,4518
,,4517
,,4517
,,4515
,,4512
,,4507
,,4506
,,4505
,,4504
,,4504
,,4501
,,4501
,,4495
,,4492
,,4492
,,4491
,,4491
,,4491
,,4490
,,4490
,,4489
,,4489
,,4489
,,4488
,,4487
,,4487
,,4484
,,4484
,,4483
,,4482
,,4482
,,4477
,,4476
,,4476
,,4474
,,4474
,,4473
,,4472
,,4470
,,4470
,,4470
,,4469
,,4468
,,4466
,,4464
,,4463
,,4462
,,4461
,,4461
,,4458
,,4458
,,4457
,,4456
,,4455
,,4453
,,4451
,,4451
,,4446
,,4441
,,4441
,,4440
,,4439
,,4438
,,4435
,,4432
,,4431
,,4431
,,4430
,,4429
,,4428
,,4428
,,4427
,,4426
,,4425
,,4425
,,4422
,,4422
,,4420
,,4420
,,4419
,,4419
,,4418
,,4415
,,4414
,,4414
,,4414
,,4414
,,4414
,,4414
,,4413
,,4412
,,4411
,,4408
