,English,German,Frequency
1131,moon,Mond,45614
1132,arms,Arme,45611
1133,turns,dreht,45572
1134,address,Adresse,45564
1135,ow,ow,45553
1136,match,Spiel,45430
1137,gasps,keucht,45422
1138,grand,große,45390
1139,yep,jep,45374
1140,shh,shh,45332
1141,nervous,nervös,45251
1142,de,de,45223
1143,choose,wählen.,45214
1144,themselves,selbst,45183
1145,decide,entscheidet,45096
1146,mate,Kumpel,44939
1147,drinking,Trinken,44913
1148,press,Presse,44903
1149,bother,belästigen.,44853
1150,foot,Fuß,44832
1151,hadn,hadn,44806
1152,blame,beschuldigen,44782
1153,crap,scheiße,44770
1154,drugs,Drogen,44624
1155,type,Typ,44619
1156,rings,Ringe,44588
1157,mission,Mission,44545
1158,named,namens,44534
1159,heaven,Himmel,44529
1160,ii,ii,44516
1161,picked,ausgewählt,44489
1162,paris,paris,44331
1163,race,Rennen,44289
1164,risk,Risiko,44264
1165,books,Bücher,44231
1166,further,weiter,44152
1167,danny,danny,44114
1168,action,Aktion,44110
1169,allowed,erlaubt,44089
1170,orders,Bestellungen,44005
1171,learned,gelernt,43897
1172,price,Preis,43839
1173,arrived,angekommen,43801
1174,nick,nick,43798
1175,otherwise,ansonsten,43797
1176,pictures,Bilder,43786
1177,fit,fit,43716
1178,smoke,Rauch,43671
1179,favor,favorisieren,43640
1180,played,gespielt,43636
1181,notice,Hinweis,43596
1182,awesome,Fantastisch,43550
1183,smile,Lächeln,43502
1184,director,Direktor,43421
1185,guard,Wache,43370
1186,begin,beginnen,43357
1187,spot,Punkt,43315
1188,surprised,überrascht,43298
1189,innocent,unschuldig,43295
1190,narrator,Erzähler,43294
1191,herself,selbst,43270
1192,london,london,43130
1193,feelings,Gefühle,43079
1194,enemy,Feind,43018
1195,battle,Schlacht,42962
1196,ourselves,uns selbst,42916
1197,alex,alex,42884
1198,dollars,Dollar,42880
1199,allow,ermöglichen,42843
1200,nine,neun,42799
1201,gay,schwul,42785
1202,department,Abteilung,42731
1203,guilty,schuldig,42710
1204,apart,getrennt,42705
1205,earlier,früher,42649
1206,duty,.,42538
1207,jim,jim,42536
1208,suit,folgt,42487
1209,bell,Glocke,42459
1210,west,West,42417
1211,legs,Beine,42407
1212,hero,Held,42329
1213,destroy,zerstören,42323
1214,stage,stage,42315
1215,bunch,Bündel,42299
1216,according,gemäß,42219
1217,chicken,chicken,42152
1218,bigger,größer,42093
1219,grunting,Grunzen,42078
1220,low,niedrig,42074
1221,helping,helfen,42064
1222,admit,zugeben,42026
1223,closed,geschlossen,41996
1224,names,Namen,41873
1225,witness,Zeuge,41866
1226,upstairs,Obergeschoss,41837
1227,arm,Arm,41832
1228,steal,stehlen.,41817
1229,jimmy,jimmy,41801
1230,kick,treten,41772
1231,twice,zweimal,41753
1232,cross,Kreuz,41732
1233,ways,Wege,41726
1234,sergeant,Sergeant,41720
1235,indeed,in der Tat,41706
1236,gas,Gas,41697
1237,keeping,unter,41693
1238,energy,Energie,41692
1239,pregnant,schwanger,41675
1240,waste,Abfall,41650
1241,helped,geholfen,41591
1242,fired,gebrannt,41535
1243,favorite,Favorit,41371
1244,tony,tony,41290
1245,taste,Geschmack,41290
1246,locked,gesperrt,41240
1247,places,Orte,41235
1248,writing,Schreiben,41193
1249,adam,adam,41153
1250,brothers,Brüder,41145
1251,starts,startet,41080
1252,prince,Fürst,41079
1253,form,Formular,41041
1254,sold,verkauft,41035
1255,silly,dumm,41028
1256,mention,erwähnen.,41025
1257,build,bauen,41012
1258,throat,Kehle,40914
1259,hole,Loch,40833
1260,figured,beziffert,40796
1261,track,Spur,40758
1262,ringing,klingelnd,40753
1263,lock,sperren,40738
1264,leg,Bein,40719
1265,above,über,40658
1266,hiding,Verstecken,40590
1267,steve,steve,40578
1268,seemed,schien,40518
1269,breakfast,Frühstück,40462
1270,engine,Motor,40449
1271,written,geschrieben,40388
1272,complete,vollständig,40387
1273,video,Video,40377
1274,applause,Beifall,40343
1275,however,jedoch,40285
1276,pressure,Druck,40282
1277,fresh,frisch,40246
1278,weapon,Waffe,40210
1279,sky,Himmel,40195
1280,ms.,ms.,40194
1281,stole,Tabelle,40098
1282,study,Studie,40065
1283,burn,brennen,40049
1284,reading,Lesen,40033
1285,crowd,Menge,39986
1286,treat,behandeln,39904
1287,roll,Rolle,39897
1288,double,doppelt,39882
1289,spirit,Geist,39874
1290,danger,Gefahr,39869
1291,cost,Kosten,39856
1292,empty,leer,39803
1293,level,Ebene,39791
1294,memory,Speicher,39770
1295,itself,selbst,39556
1296,acting,handelnd,39518
1297,interest,Interesse,39485
1298,nose,Nase,39482
1299,plans,Pläne,39476
1300,following,unter,39331
1301,bathroom,Badezimmer,39330
1302,built,gebaut,39326
1303,closer,näher,39252
1304,ray,ray,39194
1305,sarah,sarah,39142
1306,band,Band,39136
1307,groans,stöhnt,39095
1308,apparently,offenbar,39041
1309,excited,aufgeregt,39022
1310,richard,richard,38995
1311,losing,verlieren,38933
1312,animals,Tiere,38918
1313,flight,Flug,38867
1314,nature,Natur,38705
1315,raise,raise,38640
1316,pop,pop,38625
1317,client,Kunde,38585
1318,bomb,Bombe,38518
1319,neck,Nacken,38504
1320,suspect,Verdächtige,38496
1321,warm,warm,38449
1322,extra,extra,38419
1323,bottle,Flasche,38407
1324,van,van,38395
1325,heavy,schwer,38371
1326,mommy,Mutti,38365
1327,dogs,Hunde,38355
1328,wild,wild,38335
1329,ridiculous,lächerlich,38229
1330,simply,einfach,38223
1331,lee,lee,38220
1332,animal,Tier,38167
1333,showed,zeigte,38164
1334,billy,billy,38162
1335,shooting,Schießen,38121
1336,keeps,hält,38100
1337,camp,Lager,38047
1338,guns,Waffen,38036
1339,medical,medizinisch,38007
1340,shame,Schande,37951
1341,hoping,in der Hoffnung,37914
1342,whom,die,37914
1343,bird,Vogel,37907
1344,majesty,Majestät,37893
1345,flowers,Blumen,37844
1346,famous,berühmt,37793
1347,asleep,schlafend,37769
1348,beauty,Schönheit,37735
1349,driver,Fahrer,37711
1350,keys,Tasten,37699
1351,rain,Regen,37699
1352,awful,furchtbar,37634
1353,large,groß,37535
1354,local,.,37515
1355,deserve,verdienen,37474
1356,goddamn,gottverdammt,37443
1357,stone,Stein,37417
1358,jane,jane,37405
1359,grace,Gnade,37373
1360,consider,berücksichtigen.,37344
1361,weekend,Wochenende,37283
1362,wondering,staunend,37270
1363,lay,legen,37203
1364,plenty,viel,37198
1365,willing,bereit,37180
1366,pants,pants,37165
1367,sweetheart,Schätzchen,37115
1368,skin,Haut,37023
1369,excellent,ausgezeichnet,36984
1370,asshole,Arschloch,36941
1371,beach,Strand,36938
1372,c,c,36916
1373,faith,Glaube,36907
1374,beg,betteln,36861
1375,fuckin,verdammt,36849
1376,responsible,verantwortlich,36844
1377,military,Militär,36841
1378,cheering,Beifall,36830
1379,opportunity,Gelegenheit,36815
1380,common,gemeinsame,36807
1381,bottom,unten,36802
1382,german,deutsch,36781
1383,whoever,wer auch immer,36733
1384,cook,kochen,36723
1385,walked,zu Fuß,36711
1386,papers,Papiere,36698
1387,justice,Justiz,36680
1388,hall,Halle,36610
1389,commander,Kommandeur,36535
1390,drug,Droge,36531
1391,main,Haupt,36528
1392,knife,Messer,36502
1393,devil,Teufel,36481
1394,necessary,erforderlich,36354
1395,although,obwohl,36345
1396,princess,prinzessin,36316
1397,lights,Lichter,36292
1398,flying,Fliegen,36197
1399,dick,dick,36189
1400,rose,Rose,36124
1401,knowing,wissen,36046
1402,clearly,eindeutig,36046
1403,hat,Hut,36039
1404,agreed,vereinbart,36023
1405,johnny,johnny,35996
1406,corner,Ecke,35942
1407,code,Code,35876
1408,note,Hinweis,35837
1409,tommy,tommy,35828
1410,due,fällig,35752
1411,correct,richtig,35735
1412,apologize,entschuldigen.,35734
1413,language,Sprache,35711
1414,stars,Sterne,35701
1415,faster,schneller,35690
1416,cars,Autos,35669
1417,folks,Leute,35595
1418,bullshit,Bullshit,35587
1419,i.,i.,35569
1420,fellow,Mitstreiter,35549
1421,several,mehrere,35547
1422,grandma,Oma,35472
1423,shows,zeigt,35431
1424,leader,Anführer,35397
1425,leaves,Blätter,35384
1426,restaurant,Restaurant,35335
1427,east,Osten,35232
1428,shouting,Rufen Sie,35216
1429,blind,blind,35209
1430,ghost,Geist,35155
1431,cup,Tasse,35150
1432,gotten,hat,35126
1433,tight,dicht,35109
1434,conversation,Gespräch,35108
1435,tells,tells,35066
1436,lies,liegt,35051
1437,nor,noch,35016
1438,pulled,gezogen,35001
1439,hanging,Aufhängen,34972
1440,speed,Geschwindigkeit,34935
1441,stories,Geschichten,34873
1442,health,Gesundheit,34827
1443,advice,Beratung,34821
1444,held,gehalten,34816
1445,uh-huh,aha,34808
1446,murdered,ermordet,34794
1447,beyond,jenseits von,34792
1448,rule,Regel,34788
1449,hardly,kaum,34773
1450,possibly,möglicherweise,34733
1451,inspector,Inspektor,34672
1452,cousin,Cousine,34599
1453,trial,Versuch,34595
1454,emergency,Notfall,34517
1455,ought,sollte,34482
1456,eddie,eddie,34442
1457,somehow,irgendwie,34442
1458,hearing,Hören,34395
1459,states,Staaten,34375
1460,account,Konto,34359
1461,spoke,Speiche,34342
1462,file,Datei,34314
1463,understood,verstanden,34291
1464,angel,Engel,34211
1465,tape,Band,34128
1466,milk,Milch,34088
1467,powerful,leistungsstarke,34035
1468,weapons,Waffen,33969
1469,practice,Praxis,33953
1470,manager,Manager,33922
1471,pardon,Verzeihung,33904
1472,vote,Abstimmung,33863
1473,jake,Jake,33854
1474,national,national,33779
1475,career,Karriere,33775
1476,minister,Minister,33775
1477,super,super,33755
1478,taught,unterrichtet,33737
1479,robert,robert,33704
1480,biggest,größte,33697
1481,plays,spielt,33682
1482,natural,natürlich,33653
1483,dancing,Tanzen,33639
1484,copy,kopieren.,33613
1485,plus,mehr,33595
1486,martin,martin,33564
1487,cake,Kuchen,33550
1488,freedom,Freiheit,33540
1489,among,unter,33491
1490,breath,Atem,33489
1491,operation,Betrieb,33414
1492,chris,chris,33293
1493,crew,Mannschaft,33256
1494,challenge,challenge,33196
1495,market,Markt,33190
1496,meat,Fleisch,33176
1497,towards,gegenüber,33161
1498,bringing,bringt,33139
1499,dropped,fallen gelassen,33113
1500,student,Studenten,33099
1501,lied,gelogen,33081
1502,strength,Stärke,33050
1503,size,Größe,33032
1504,breathe,atmen,33020
1505,color,Farbe,32997
1506,monster,monster,32987
1507,loud,laut,32979
1508,photo,Foto,32950
1509,aw,aw,32841
1510,nearly,fast,32841
1511,sight,Ansicht,32837
1512,greatest,größte,32819
1513,games,Spiele,32757
1514,bridge,Brücke,32757
1515,dressed,angezogen,32746
1516,arrested,verhaftet,32730
1517,horrible,Schrecklich,32715
1518,coach,Coach,32692
1519,planning,Planung,32623
1520,checked,geprüft,32588
1521,breaking,brechen,32547
1522,noticed,bemerkt,32506
1523,fantastic,fantastisch,32492
1524,screams,schreit,32471
1525,serve,dienen,32400
1526,ideas,Ideen,32333
1527,investigation,Untersuchung,32321
1528,center,Zentrum,32301
1529,older,ältere,32288
1530,pack,packen,32273
1531,soldiers,Soldaten,32190
1532,nonsense,Blödsinn,32182
1533,doc,doc,32178
1534,project,Projekt,32146
1535,training,Ausbildung,32130
1536,example,Beispiel,32110
1537,trick,Trick,32098
1538,prepared,vorbereitet,32097
1539,science,Wissenschaft,32073
1540,united,vereinigt,32040
1541,travel,Reisen,31973
1542,incredible,unglaublich,31952
1543,grandpa,Opa,31937
1544,paying,Bezahlen,31857
1545,character,Zeichen,31833
1546,teeth,Zähne,31812
1547,criminal,kriminell,31791
1548,charles,charles,31786
1549,chinese,Chinesisch,31767
1550,truly,wirklich,31696
1551,honestly,Ehrlich gesagt,31657
1552,bro,Bruder,31615
1553,survive,überleben,31574
1554,bobby,Bobby,31567
1555,target,Ziel,31561
1556,feed,Futtermittel,31514
1557,nurse,Krankenschwester,31501
1558,e,e,31473
1559,fake,gefälscht,31440
1560,records,Datensätze,31434
1561,breathing,Atmen,31415
1562,sweetie,Süßer,31409
1563,numbers,Zahlen,31406
1564,oil,Öl,31369
1565,suicide,Selbstmord,31355
1566,belong,gehören,31339
1567,whoo,.,31306
1568,perfectly,perfekt,31295
1569,amy,amy,31285
1570,forgotten,vergessen,31269
1571,remain,bleiben,31261
1572,original,Original,31225
1573,papa,papa,31217
1574,onto,auf,31201
1575,concerned,betroffen,31193
1576,credit,Kredit,31150
1577,ugh,ugh,31135
1578,invited,eingeladen,31108
1579,discuss,diskutieren,31095
1580,research,Forschung,31052
1581,easier,einfacher,31047
1582,view,siehe,31029
1583,chair,Stuhl,31008
1584,hurts,schmerzt,30993
1585,strike,streiken,30922
1586,roger,roger,30907
1587,fill,füllen.,30876
1588,condition,Zustand,30874
1589,mountain,Berg,30826
1590,dr,Dr.,30804
1591,nowhere,Nirgendwo,30801
1592,sheriff,sheriff,30768
1593,kim,kim,30683
1594,turning,Drehen,30624
1595,brown,braun,30565
1596,recognize,erkennen,30549
1597,heads,Köpfe,30470
1598,audience,Publikum,30458
1599,jealous,Neidisch,30447
1600,pretend,pretend,30420
1601,society,Gesellschaft,30395
1602,finding,finden.,30366
1603,shirt,Hemd,30350
1604,comfortable,bequem,30335
1605,meaning,Bedeutung,30283
1606,guest,Gast,30274
1607,pieces,Stücke,30225
1608,dry,trocken,30208
1609,letting,Vermietung,30196
1610,began,begann,30183
1611,aye,aye,30156
1612,jeff,jeff,30144
1613,female,weiblich,30128
1614,release,freigeben,30122
1615,ho,ho,30102
1616,cards,Karten,30057
1617,pray,beten,30049
1618,unfortunately,leider,30029
1619,balls,Bälle,29984
1620,destroyed,zerstört,29953
1621,ended,beendet,29892
1622,universe,Universum,29883
1623,prepare,vorbereiten,29871
1624,opinion,Stellungnahme,29862
1625,movies,Filme,29849
1626,soldier,Soldat,29799
1627,wash,waschen,29789
1628,program,Programm,29775
1629,heat,Wärme,29765
1630,usual,üblich,29762
1631,ticket,Ticket,29749
1632,stolen,gestohlen,29742
1633,prefer,lieber,29719
1634,aware,bewusst,29707
1635,surely,sicher,29668
1636,male,männlich,29645
1637,base,Basis,29636
1638,matters,Angelegenheiten,29625
1639,lift,Aufzug,29618
1640,lab,Labor,29606
1641,command,Befehl,29598
1642,proof,Nachweis,29565
1643,cream,Creme,29548
1644,selling,Verkaufen,29547
1645,believed,glaubte,29539
1646,create,erstellen.,29528
1647,h,h,29504
1648,afford,leisten,29479
1649,sunday,sonntag,29430
1650,total,insgesamt,29378
1651,dumb,dumm,29357
1652,threw,warf,29337
1653,france,frankreich,29323
1654,birth,Geburt,29291
1655,created,erstellt,29290
1656,realized,realisiert,29282
1657,british,britisch,29264
1658,noise,Lärm,29229
1659,nuts,Nüsse,29223
1660,students,Studenten,29172
1661,birds,Vögel,29167
1662,social,sozial,29134
1663,brilliant,brillant,29081
1664,bodies,Körper,29069
1665,tie,Krawatte,29049
1666,opened,geöffnet,29037
1667,ours,Bär,29034
1668,bucks,Böcke,29028
1669,kevin,kevin,28990
1670,mister,Herr,28972
1671,ugly,hässlich,28945
1672,ryan,ryan,28920
1673,focus,Fokus,28868
1674,dan,dan,28853
1675,opens,öffnet,28842
1676,exist,existieren,28773
1677,followed,gefolgt von,28739
1678,england,england,28713
1679,draw,zeichnen,28655
1680,purpose,Zweck,28619
1681,letters,Buchstaben,28601
1682,daniel,daniel,28532
1683,opening,Eröffnung,28526
1684,bullet,Aufzählung,28510
1685,anna,anna,28505
1686,lately,In letzter Zeit,28503
1687,stayed,blieb,28471
1688,falling,fallend,28465
1689,season,Saison,28404
1690,ends,endet,28386
1691,suggest,vorschlagen,28377
1692,joy,Freude,28373
1693,distance,Entfernung,28340
1694,responsibility,Verantwortung,28309
1695,whenever,wenn,28291
1696,issue,Ausgabe,28290
1697,thousands,Tausende,28242
1698,process,Prozess,28213
1699,sword,Schwert,28200
1700,shower,Dusche,28199
1701,weak,schwach,28183
1702,fucked,gefickt,28151
1703,lonely,einsam,28140
1704,happiness,Glück,27986
1705,eric,eric,27930
1706,tiny,winzige,27928
1707,desk,Schreibtisch,27901
1708,pool,Pool,27884
1709,property,Eigenschaft,27883
1710,forced,gezwungen,27863
1711,settle,regeln.,27844
1712,indistinct,undeutlich,27842
1713,weight,Gewicht,27829
1714,received,erhalten,27820
1715,gang,gang,27818
1716,bite,beißen,27815
1717,friday,Freitag,27813
1718,disappeared,verschwunden,27798
1719,interview,Interview,27777
1720,expecting,in Erwartung von,27761
1721,kinda,Irgendwie,27728
1722,surgery,Praxis,27722
1723,horses,Pferde,27719
1724,mayor,mehr,27696
1725,babe,Babe,27695
1726,ancient,ancient,27692
1727,handsome,gut aussehend,27676
1728,thomas,thomas,27662
1729,saturday,samstag,27630
1730,staff,Mitarbeiter,27542
1731,lines,Zeilen,27530
1732,unit,Einheit,27518
1733,fan,Fan,27510
1734,gentleman,Gentleman,27462
1735,introduce,vorstellen.,27442
1736,fate,Schicksal,27434
1737,split,geteilt,27397
1738,recently,kürzlich,27383
1739,expected,erwartet,27376
1740,add,hinzufügen.,27372
1741,ordered,bestellt,27345
1742,slowly,langsam,27302
1743,alarm,Alarm,27299
1744,member,Mitglied,27273
1745,slept,geschlafen,27204
1746,signed,unterzeichnet,27140
1747,enter,eingeben.,27132
1748,spanish,spanisch,27127
1749,garden,Garten,27121
1750,brings,bringt,27116
1751,brave,tapfer,27112
1752,pig,Schwein,27077
1753,model,Modell,27074
1754,finger,Finger,27074
1755,medicine,Medizin,27061
1756,access,Zugang,27044
1757,failed,gescheitert,27005
1758,flat,Wohnung,26990
1759,easily,einfach,26989
1760,discovered,entdeckt,26977
1761,based,basiert,26967
1762,screw,Schraube,26958
1763,insane,Verrückt,26937
1764,cares,kümmert sich,26879
1765,weather,Wetter,26848
1766,fingers,Finger,26840
1767,san,san,26836
1768,scott,scott,26829
1769,path,Pfad,26824
1770,soft,weich,26788
1771,harm,Schaden,26777
1772,style,Stil,26740
1773,community,Gemeinschaft,26736
1774,sees,siehe,26690
1775,basically,Grundsätzlich,26686
1776,al,al,26681
1777,signal,Signal,26642
1778,nope,schnell,26574
1779,spare,Ersatz,26569
1780,speech,Rede,26540
1781,covered,überdacht,26505
1782,shake,schütteln,26461
1783,loose,lose,26447
1784,snow,Schnee,26438
1785,russian,russisch,26427
1786,lake,See,26393
1787,bright,hell,26393
1788,roof,Dach,26386
1789,ohh,ohh,26384
1790,sending,Senden,26356
1791,paint,Farbe,26308
1792,remind,erinnern,26288
1793,pal,Kumpel,26265
1794,naked,nackt,26241
1795,post,Beitrag,26204
1796,sugar,Zucker,26185
1797,heading,Rubrik,26184
1798,streets,Straßen,26174
1799,damage,Schaden,26171
1800,silence,Schweigen,26163
1801,doors,Türen,26122
1802,pete,pete,26113
1803,ed,ed,26110
1804,success,Erfolg,26098
1805,wet,nass,26067
1806,nah,nah,26061
1807,amount,Betrag,26053
1808,members,Mitglieder,26020
1809,kate,Kate,26016
1810,manage,verwalten,26011
1811,safety,Sicherheit,25989
1812,returned,zurückgegeben,25987
1813,harder,härter,25962
1814,fbi,fbi,25945
1815,block,Block,25937
1816,showing,unter,25931
1817,fancy,schick,25874
1818,chef,Chef,25861
1819,contract,Vertrag,25860
1820,dig,graben,25812
1821,chest,Brust,25798
1822,good-bye,Auf Wiedersehen,25785
1823,drinks,Getränke,25785
1824,dave,dave,25771
1825,buried,begraben,25754
1826,brian,brian,25746
1827,trade,Handel,25698
1828,journey,journey,25688
1829,stomach,Magen,25685
1830,changes,Änderungen,25643
1831,details,Details,25633
1832,thoughts,Gedanken,25623
1833,divorce,Scheidung,25604
1834,funeral,Beerdigung,25560
1835,maria,maria,25518
1836,football,Fußball,25500
1837,reality,Realität,25456
1838,theory,Theorie,25451
1839,gosh,gosh,25436
1840,ruined,ruiniert,25433
1841,gate,Tor,25423
1842,william,william,25422
1843,spread,Verbreitung,25398
1844,outta,von,25398
1845,japanese,japanisch,25360
1846,sudden,Plötzlich,25335
1847,coat,Mantel,25312
1848,sooner,früher,25308
1849,cheese,Käse,25303
1850,larry,Larry,25291
1851,spring,Feder,25290
1852,page,Seite,25288
1853,ears,Ohren,25262
1854,simon,simon,25261
1855,castle,Schloss,25236
1856,hidden,versteckt,25222
1857,storm,Sturm,25197
1858,cos,cos,25184
1859,personally,persönlich,25183
1860,artist,Künstler,25168
1861,hill,Hügel,25165
1862,exciting,Spannend,25150
1863,permission,Erlaubnis,25143
1864,jerry,jerry,25143
1865,expensive,teuer,25116
1866,tickets,Eintrittskarten,25058
1867,forest,Wald,25056
1868,barely,kaum,25054
1869,eggs,Eier,25052
1870,goin,unter,24999
1871,regret,Bedauern,24979
1872,lesson,Lektion,24978
1873,lover,Liebhaber,24973
1874,bread,Brot,24943
1875,andy,andy,24909
1876,subject,Thema,24897
1877,legal,legal,24873
1878,growing,wachsend,24846
1879,ill,krank,24843
1880,jason,jason,24842
1881,mood,Stimmung,24828
1882,owner,Eigentümer,24822
1883,caused,verursacht,24820
1884,beeping,piepsend,24785
1885,points,Punkte,24779
1886,dating,Partnersuche,24763
1887,loss,Verlust,24753
1888,secretary,Sekretärin,24739
1889,revenge,Rache,24722
1890,santa,santa,24686
1891,likely,wahrscheinlich,24670
1892,rent,mieten,24659
1893,connection,Verbindung,24645
1894,assistant,Assistent,24625
1895,reasons,Gründe,24623
1896,yelling,schreiend,24565
1897,painting,Malerei,24532
1898,trees,Bäume,24527
1899,doctors,Ärzte,24451
1900,rush,Eile,24450
1901,foreign,Ausland,24449
1902,rough,grob,24431
1903,murderer,murderer,24425
1904,century,Jahrhundert,24401
1905,nights,Nächte,24400
1906,pair,Paar,24380
1907,runs,läuft,24375
1908,pocket,Tasche,24370
1909,farm,Bauernhof,24370
1910,matt,matt,24363
1911,bike,Fahrrad,24363
1912,obvious,Offensichtlich,24324
1913,ate,aß,24293
1914,grew,wuchs,24284
1915,professional,professionell,24261
1916,tim,tim,24254
1917,goodness,Güte,24245
1918,parts,Teile,24233
1919,alan,alan,24230
1920,university,Universität,24218
1921,square,Platz,24208
1922,grandfather,Großvater,24205
1923,europe,europa,24197
1924,genius,genial,24190
1925,cases,Fälle,24186
1926,ruin,ruinieren,24104
1927,winter,Winter,24079
1928,tongue,tongue,24077
1929,memories,Erinnerungen,24064
1930,da,da,24042
1931,buying,Kaufen,24032
1932,cancer,Krebs,24023
1933,clock,Uhr,24008
1934,ocean,Meer,24005
1935,dna,dna,24001
1936,liar,Lügner,24000
1937,tour,Turm,23954
1938,thief,Dieb,23941
1939,bleep,piep,23935
1940,lisa,lisa,23907
1941,rights,Rechte,23905
1942,including,einschließlich,23889
1943,competition,Wettbewerb,23882
1944,smith,Schmied,23875
1945,planned,geplant,23870
1946,emily,Emily,23861
1947,boring,langweilig,23839
1948,victims,Opfer,23824
1949,mentioned,erwähnt,23813
1950,bones,Knochen,23805
1951,plant,Anlage,23799
1952,bless,segne,23797
1953,warning,Warnung,23792
1954,knocking,Klopfen,23737
1955,crash,Absturz,23737
1956,bedroom,Schlafzimmer,23716
1957,lower,unter,23635
1958,silver,Silber,23599
1959,groaning,Stöhnen,23587
1960,madame,Madame,23583
1961,defense,Verteidigung,23577
1962,results,Ergebnisse,23559
1963,toilet,toilet,23547
1964,event,Veranstaltung,23542
1965,complicated,kompliziert,23529
1966,shape,Form,23523
1967,priest,Priester,23492
1968,royal,königlich,23490
1969,cheap,billig,23479
1970,romantic,romantisch,23478
1971,downstairs,im Erdgeschoss,23467
1972,invite,Aufforderung,23463
1973,fortune,Glück,23462
1974,tears,Tränen,23460
1975,avoid,vermeiden,23453
1976,reached,erreicht,23448
1977,higher,höher,23430
1978,familiar,Familie,23427
1979,telephone,Telefon,23403
1980,burning,brennend,23394
1981,filled,gefüllt,23379
1982,kelly,kelly,23377
1983,alice,alice,23374
1984,airport,Flughafen,23358
1985,jobs,Arbeitsplätze,23354
1986,grown,gewachsen,23348
1987,walter,walter,23343
1988,rachel,rachel,23326
1989,giant,riesig,23319
1990,insurance,Versicherung,23313
1991,woods,Wälder,23311
1992,n,n,23293
1993,scare,erschrecken,23268
1994,pleased,zufrieden,23266
1995,period,Zeitraum,23260
1996,political,politisch,23258
1997,player,Spieler,23227
1998,stops,stoppt,23218
1999,secrets,Geheimnisse,23211
2000,laura,laura,23195
2001,repeat,wiederholen,23192
2002,photos,Fotos,23158
2003,finds,findet,23158
2004,statement,Anweisung,23126
2005,suck,saugen,23087
2006,younger,Jüngere,23086
2007,china,china,23070
2008,humans,Menschen,23050
2009,delicious,lecker,23036
2010,particular,besondere,23035
2011,proper,richtig,23019
2012,rome,Rom,22990
2013,belongs,gehört,22982
2014,attacked,angegriffen,22961
2015,bath,Bad,22926
2016,hired,gemietet,22912
2017,site,Website,22901
2018,knowledge,Wissen,22890
2019,b,b,22889
2020,led,geführt,22884
2021,guests,Gäste,22870
2022,celebrate,feiern,22868
2023,map,Karte,22866
2024,horn,Horn,22838
2025,eventually,eventuell,22834
2026,pity,Mitleid,22822
2027,powers,Kräfte,22813
2028,ashamed,schämen,22806
2029,assume,annehmen,22805
2030,glasses,Brille,22764
2031,rise,aufsteigen,22726
2032,fixed,fest,22716
2033,request,Anfrage,22679
2034,officers,Offiziere,22667
2035,pounds,Pfund,22649
2036,data,Daten,22623
2037,carefully,sorgfältig,22616
2038,per,per,22604
2039,depends,hängt,22596
2040,jury,Jury,22575
2041,waited,gewartet,22533
2042,positive,positiv,22496
2043,attorney,Rechtsanwalt,22483
2044,direction,Richtung,22478
2045,families,Familien,22477
2046,doin,unter,22472
2047,forces,Kräfte,22413
2048,location,Standort,22389
2049,walls,Wände,22384
2050,useless,nutzlos,22369
2051,grant,grant,22345
2052,saving,speichern,22341
2053,speaks,spricht,22338
2054,fought,bekämpft,22311
2055,meal,Mahlzeit,22289
2056,deliver,Lieferung,22284
2057,answers,antwortet,22282
2058,changing,ändern,22247
2059,temple,Tempel,22228
2060,scary,scary,22210
2061,millions,Millionen,22196
2062,offered,angeboten,22181
2063,regular,regelmäßig,22170
2064,carrying,mit,22145
2065,official,offiziell,22124
2066,jacket,Jacke,22116
2067,switch,Schalter,22102
2068,grave,Grab,22036
2069,chase,Verfolgung,22035
2070,role,Rolle,22009
2071,odd,ungerade,21983
2072,sexy,sexy,21961
2073,faces,Gesichter,21905
2074,becomes,wird,21871
2075,closes,schließt,21863
2076,badly,schlecht,21862
2077,tall,groß,21831
2078,confused,verwirrt,21830
2079,affair,affair,21813
2080,television,Fernsehen,21790
2081,shock,Schock,21774
2082,raised,erhöht,21771
2083,panting,hechelnd,21768
2084,pizza,pizza,21761
2085,image,Bild,21750
2086,clears,löscht,21737
2087,golden,goldene,21737
2088,patients,Patienten,21719
2089,watched,beobachtet,21718
2090,committed,verpflichtet,21717
2091,sexual,sexuell,21712
2092,suffer,leiden,21711
2093,arthur,arthur,21677
2094,wherever,wo immer,21669
2095,plate,Platte,21657
2096,appear,erscheinen,21644
2097,chocolate,Schokolade,21543
2098,clever,schlau,21542
2099,hm,hm,21517
2100,mercy,Barmherzigkeit,21499
2101,shots,Aufnahmen,21496
2102,lucy,lucy,21491
2103,dealing,Umgang mit,21483
2104,trap,Falle,21466
2105,charges,Gebühren,21449
2106,phil,phil,21440
2107,bang,bang,21429
2108,poison,Gift,21429
2109,butt,Hintern,21410
2110,drove,fuhr,21399
2111,yourselves,Sie selbst,21366
2112,headed,mit Kopf,21356
2113,babies,Babies,21352
2114,yellow,gelb,21347
2115,soup,soup,21338
2116,mystery,Geheimnis,21327
2117,picking,.,21323
2118,sat,satt,21314
2119,wound,Wunde,21309
2120,traffic,Verkehr,21282
2121,courage,Mut,21258
2122,hunt,jagen,21235
2123,indian,indisch,21226
2124,rat,Ratte,21202
2125,terms,Bedingungen,21181
2126,italian,italienisch,21173
2127,emma,emma,21163
